6.00000000000000+0.00000000000000i	0.132734000000000+0.0955222000000000i
6.10000000000000+0.00000000000000i	0.133696000000000+0.0960530000000000i
6.20000000000000+0.00000000000000i	0.134648000000000+0.0965767000000000i
6.30000000000000+0.00000000000000i	0.135591000000000+0.0970936000000000i
6.40000000000000+0.00000000000000i	0.136524000000000+0.0976038000000000i
6.50000000000000+0.00000000000000i	0.137448000000000+0.0981076000000000i
6.60000000000000+0.00000000000000i	0.138364000000000+0.0986050000000000i
6.70000000000000+0.00000000000000i	0.139271000000000+0.0990963000000000i
6.80000000000000+0.00000000000000i	0.140169000000000+0.0995815000000000i
6.90000000000000+0.00000000000000i	0.141060000000000+0.100061000000000i
7.00000000000000+0.00000000000000i	0.141942000000000+0.100535000000000i
7.10000000000000+0.00000000000000i	0.142816000000000+0.101003000000000i
7.20000000000000+0.00000000000000i	0.143683000000000+0.101465000000000i
7.30000000000000+0.00000000000000i	0.144542000000000+0.101923000000000i
7.40000000000000+0.00000000000000i	0.145394000000000+0.102375000000000i
7.50000000000000+0.00000000000000i	0.146238000000000+0.102822000000000i
7.60000000000000+0.00000000000000i	0.147076000000000+0.103264000000000i
7.70000000000000+0.00000000000000i	0.147906000000000+0.103701000000000i
7.80000000000000+0.00000000000000i	0.148730000000000+0.104133000000000i
7.90000000000000+0.00000000000000i	0.149547000000000+0.104561000000000i
8.00000000000000+0.00000000000000i	0.150358000000000+0.104984000000000i
8.10000000000000+0.00000000000000i	0.151162000000000+0.105403000000000i
8.20000000000000+0.00000000000000i	0.151960000000000+0.105817000000000i
8.30000000000000+0.00000000000000i	0.152752000000000+0.106228000000000i
8.40000000000000+0.00000000000000i	0.153538000000000+0.106633000000000i
8.50000000000000+0.00000000000000i	0.154318000000000+0.107035000000000i
8.60000000000000+0.00000000000000i	0.155092000000000+0.107433000000000i
8.70000000000000+0.00000000000000i	0.155860000000000+0.107827000000000i
8.80000000000000+0.00000000000000i	0.156623000000000+0.108217000000000i
8.90000000000000+0.00000000000000i	0.157380000000000+0.108603000000000i
9.00000000000000+0.00000000000000i	0.158132000000000+0.108985000000000i
9.10000000000000+0.00000000000000i	0.158879000000000+0.109364000000000i
9.20000000000000+0.00000000000000i	0.159620000000000+0.109739000000000i
9.30000000000000+0.00000000000000i	0.160356000000000+0.110111000000000i
9.40000000000000+0.00000000000000i	0.161088000000000+0.110479000000000i
9.50000000000000+0.00000000000000i	0.161814000000000+0.110844000000000i
9.60000000000000+0.00000000000000i	0.162535000000000+0.111205000000000i
9.70000000000000+0.00000000000000i	0.163252000000000+0.111563000000000i
9.80000000000000+0.00000000000000i	0.163964000000000+0.111918000000000i
9.90000000000000+0.00000000000000i	0.164671000000000+0.112270000000000i
10.0000000000000+0.00000000000000i	0.165374000000000+0.112618000000000i
11.0000000000000+0.00000000000000i	0.172164000000000+0.115944000000000i
12.0000000000000+0.00000000000000i	0.178565000000000+0.119009000000000i
13.0000000000000+0.00000000000000i	0.184628000000000+0.121848000000000i
14.0000000000000+0.00000000000000i	0.190392000000000+0.124490000000000i
15.0000000000000+0.00000000000000i	0.195891000000000+0.126960000000000i
16.0000000000000+0.00000000000000i	0.201151000000000+0.129276000000000i
17.0000000000000+0.00000000000000i	0.206196000000000+0.131455000000000i
18.0000000000000+0.00000000000000i	0.211045000000000+0.133510000000000i
19.0000000000000+0.00000000000000i	0.215716000000000+0.135453000000000i
20.0000000000000+0.00000000000000i	0.220223000000000+0.137295000000000i
21.0000000000000+0.00000000000000i	0.224578000000000+0.139043000000000i
22.0000000000000+0.00000000000000i	0.228792000000000+0.140706000000000i
23.0000000000000+0.00000000000000i	0.232877000000000+0.142291000000000i
24.0000000000000+0.00000000000000i	0.236840000000000+0.143802000000000i
25.0000000000000+0.00000000000000i	0.240690000000000+0.145246000000000i
26.0000000000000+0.00000000000000i	0.244433000000000+0.146628000000000i
27.0000000000000+0.00000000000000i	0.248076000000000+0.147951000000000i
28.0000000000000+0.00000000000000i	0.251625000000000+0.149220000000000i
29.0000000000000+0.00000000000000i	0.255085000000000+0.150438000000000i
30.0000000000000+0.00000000000000i	0.258460000000000+0.151607000000000i
31.0000000000000+0.00000000000000i	0.261756000000000+0.152732000000000i
32.0000000000000+0.00000000000000i	0.264977000000000+0.153814000000000i
33.0000000000000+0.00000000000000i	0.268125000000000+0.154856000000000i
34.0000000000000+0.00000000000000i	0.271204000000000+0.155861000000000i
35.0000000000000+0.00000000000000i	0.274218000000000+0.156829000000000i
36.0000000000000+0.00000000000000i	0.277170000000000+0.157764000000000i
37.0000000000000+0.00000000000000i	0.280062000000000+0.158666000000000i
38.0000000000000+0.00000000000000i	0.282897000000000+0.159538000000000i
39.0000000000000+0.00000000000000i	0.285677000000000+0.160381000000000i
40.0000000000000+0.00000000000000i	0.288405000000000+0.161196000000000i
41.0000000000000+0.00000000000000i	0.291082000000000+0.161985000000000i
42.0000000000000+0.00000000000000i	0.293710000000000+0.162748000000000i
43.0000000000000+0.00000000000000i	0.296292000000000+0.163488000000000i
44.0000000000000+0.00000000000000i	0.298829000000000+0.164204000000000i
45.0000000000000+0.00000000000000i	0.301322000000000+0.164899000000000i
46.0000000000000+0.00000000000000i	0.303774000000000+0.165572000000000i
47.0000000000000+0.00000000000000i	0.306185000000000+0.166225000000000i
48.0000000000000+0.00000000000000i	0.308557000000000+0.166859000000000i
49.0000000000000+0.00000000000000i	0.310892000000000+0.167475000000000i
50.0000000000000+0.00000000000000i	0.313190000000000+0.168072000000000i
51.0000000000000+0.00000000000000i	0.315452000000000+0.168652000000000i
52.0000000000000+0.00000000000000i	0.317681000000000+0.169216000000000i
53.0000000000000+0.00000000000000i	0.319876000000000+0.169764000000000i
54.0000000000000+0.00000000000000i	0.322040000000000+0.170296000000000i
55.0000000000000+0.00000000000000i	0.324172000000000+0.170814000000000i
56.0000000000000+0.00000000000000i	0.326274000000000+0.171317000000000i
57.0000000000000+0.00000000000000i	0.328346000000000+0.171807000000000i
58.0000000000000+0.00000000000000i	0.330390000000000+0.172284000000000i
59.0000000000000+0.00000000000000i	0.332406000000000+0.172747000000000i
60.0000000000000+0.00000000000000i	0.334395000000000+0.173199000000000i
61.0000000000000+0.00000000000000i	0.336358000000000+0.173638000000000i
62.0000000000000+0.00000000000000i	0.338295000000000+0.174066000000000i
63.0000000000000+0.00000000000000i	0.340207000000000+0.174483000000000i
64.0000000000000+0.00000000000000i	0.342095000000000+0.174889000000000i
65.0000000000000+0.00000000000000i	0.343959000000000+0.175284000000000i
66.0000000000000+0.00000000000000i	0.345800000000000+0.175670000000000i
67.0000000000000+0.00000000000000i	0.347619000000000+0.176045000000000i
68.0000000000000+0.00000000000000i	0.349416000000000+0.176411000000000i
69.0000000000000+0.00000000000000i	0.351191000000000+0.176768000000000i
70.0000000000000+0.00000000000000i	0.352945000000000+0.177116000000000i
71.0000000000000+0.00000000000000i	0.354679000000000+0.177455000000000i
72.0000000000000+0.00000000000000i	0.356393000000000+0.177785000000000i
73.0000000000000+0.00000000000000i	0.358087000000000+0.178108000000000i
74.0000000000000+0.00000000000000i	0.359763000000000+0.178422000000000i
75.0000000000000+0.00000000000000i	0.361419000000000+0.178729000000000i
76.0000000000000+0.00000000000000i	0.363058000000000+0.179029000000000i
77.0000000000000+0.00000000000000i	0.364678000000000+0.179321000000000i
78.0000000000000+0.00000000000000i	0.366282000000000+0.179605000000000i
79.0000000000000+0.00000000000000i	0.367868000000000+0.179883000000000i
80.0000000000000+0.00000000000000i	0.369437000000000+0.180155000000000i
81.0000000000000+0.00000000000000i	0.370990000000000+0.180419000000000i
82.0000000000000+0.00000000000000i	0.372526000000000+0.180678000000000i
83.0000000000000+0.00000000000000i	0.374047000000000+0.180930000000000i
84.0000000000000+0.00000000000000i	0.375553000000000+0.181176000000000i
85.0000000000000+0.00000000000000i	0.377043000000000+0.181416000000000i
86.0000000000000+0.00000000000000i	0.378519000000000+0.181651000000000i
87.0000000000000+0.00000000000000i	0.379980000000000+0.181879000000000i
88.0000000000000+0.00000000000000i	0.381427000000000+0.182103000000000i
89.0000000000000+0.00000000000000i	0.382860000000000+0.182321000000000i
90.0000000000000+0.00000000000000i	0.384279000000000+0.182534000000000i
91.0000000000000+0.00000000000000i	0.385684000000000+0.182742000000000i
92.0000000000000+0.00000000000000i	0.387077000000000+0.182945000000000i
