1.20000000000000+0.00000000000000i	0.0585757000000000+0.0489357000000000i
1.30000000000000+0.00000000000000i	0.0608423000000000+0.0505541000000000i
1.40000000000000+0.00000000000000i	0.0630130000000000+0.0520900000000000i
1.50000000000000+0.00000000000000i	0.0650980000000000+0.0535526000000000i
1.60000000000000+0.00000000000000i	0.0671057000000000+0.0549497000000000i
1.70000000000000+0.00000000000000i	0.0690433000000000+0.0562877000000000i
1.80000000000000+0.00000000000000i	0.0709170000000000+0.0575720000000000i
1.90000000000000+0.00000000000000i	0.0727321000000000+0.0588073000000000i
2.00000000000000+0.00000000000000i	0.0744931000000000+0.0599979000000000i
2.10000000000000+0.00000000000000i	0.0762041000000000+0.0611471000000000i
2.20000000000000+0.00000000000000i	0.0778688000000000+0.0622583000000000i
2.30000000000000+0.00000000000000i	0.0794902000000000+0.0633340000000000i
2.40000000000000+0.00000000000000i	0.0810712000000000+0.0643768000000000i
2.50000000000000+0.00000000000000i	0.0826143000000000+0.0653889000000000i
2.60000000000000+0.00000000000000i	0.0841218000000000+0.0663723000000000i
2.70000000000000+0.00000000000000i	0.0855958000000000+0.0673287000000000i
2.80000000000000+0.00000000000000i	0.0870381000000000+0.0682597000000000i
2.90000000000000+0.00000000000000i	0.0884506000000000+0.0691668000000000i
3.00000000000000+0.00000000000000i	0.0898346000000000+0.0700514000000000i
3.10000000000000+0.00000000000000i	0.0911917000000000+0.0709146000000000i
3.20000000000000+0.00000000000000i	0.0925232000000000+0.0717576000000000i
3.30000000000000+0.00000000000000i	0.0938302000000000+0.0725813000000000i
3.40000000000000+0.00000000000000i	0.0951140000000000+0.0733868000000000i
3.50000000000000+0.00000000000000i	0.0963756000000000+0.0741749000000000i
3.60000000000000+0.00000000000000i	0.0976159000000000+0.0749464000000000i
3.70000000000000+0.00000000000000i	0.0988358000000000+0.0757020000000000i
3.80000000000000+0.00000000000000i	0.100036000000000+0.0764425000000000i
3.90000000000000+0.00000000000000i	0.101218000000000+0.0771686000000000i
4.00000000000000+0.00000000000000i	0.102382000000000+0.0778807000000000i
4.10000000000000+0.00000000000000i	0.103528000000000+0.0785795000000000i
4.20000000000000+0.00000000000000i	0.104658000000000+0.0792656000000000i
4.30000000000000+0.00000000000000i	0.105771000000000+0.0799393000000000i
4.40000000000000+0.00000000000000i	0.106869000000000+0.0806012000000000i
4.50000000000000+0.00000000000000i	0.107953000000000+0.0812518000000000i
4.60000000000000+0.00000000000000i	0.109021000000000+0.0818913000000000i
4.70000000000000+0.00000000000000i	0.110076000000000+0.0825203000000000i
4.80000000000000+0.00000000000000i	0.111117000000000+0.0831391000000000i
4.90000000000000+0.00000000000000i	0.112146000000000+0.0837481000000000i
5.00000000000000+0.00000000000000i	0.113161000000000+0.0843475000000000i
5.10000000000000+0.00000000000000i	0.114164000000000+0.0849377000000000i
5.20000000000000+0.00000000000000i	0.115156000000000+0.0855189000000000i
5.30000000000000+0.00000000000000i	0.116136000000000+0.0860916000000000i
5.40000000000000+0.00000000000000i	0.117104000000000+0.0866559000000000i
5.50000000000000+0.00000000000000i	0.118062000000000+0.0872120000000000i
5.60000000000000+0.00000000000000i	0.119009000000000+0.0877603000000000i
5.70000000000000+0.00000000000000i	0.119946000000000+0.0883010000000000i
5.80000000000000+0.00000000000000i	0.120873000000000+0.0888343000000000i
5.90000000000000+0.00000000000000i	0.121790000000000+0.0893603000000000i
6.00000000000000+0.00000000000000i	0.122698000000000+0.0898794000000000i
6.10000000000000+0.00000000000000i	0.123596000000000+0.0903916000000000i
6.20000000000000+0.00000000000000i	0.124486000000000+0.0908972000000000i
6.30000000000000+0.00000000000000i	0.125366000000000+0.0913964000000000i
6.40000000000000+0.00000000000000i	0.126238000000000+0.0918893000000000i
6.50000000000000+0.00000000000000i	0.127102000000000+0.0923761000000000i
6.60000000000000+0.00000000000000i	0.127958000000000+0.0928569000000000i
6.70000000000000+0.00000000000000i	0.128805000000000+0.0933319000000000i
6.80000000000000+0.00000000000000i	0.129645000000000+0.0938012000000000i
6.90000000000000+0.00000000000000i	0.130477000000000+0.0942651000000000i
7.00000000000000+0.00000000000000i	0.131302000000000+0.0947235000000000i
7.10000000000000+0.00000000000000i	0.132119000000000+0.0951766000000000i
7.20000000000000+0.00000000000000i	0.132930000000000+0.0956247000000000i
7.30000000000000+0.00000000000000i	0.133733000000000+0.0960676000000000i
7.40000000000000+0.00000000000000i	0.134530000000000+0.0965057000000000i
7.50000000000000+0.00000000000000i	0.135320000000000+0.0969390000000000i
7.60000000000000+0.00000000000000i	0.136103000000000+0.0973676000000000i
7.70000000000000+0.00000000000000i	0.136880000000000+0.0977916000000000i
7.80000000000000+0.00000000000000i	0.137651000000000+0.0982111000000000i
7.90000000000000+0.00000000000000i	0.138415000000000+0.0986262000000000i
8.00000000000000+0.00000000000000i	0.139174000000000+0.0990370000000000i
8.10000000000000+0.00000000000000i	0.139926000000000+0.0994436000000000i
8.20000000000000+0.00000000000000i	0.140673000000000+0.0998461000000000i
8.30000000000000+0.00000000000000i	0.141414000000000+0.100244000000000i
8.40000000000000+0.00000000000000i	0.142150000000000+0.100639000000000i
8.50000000000000+0.00000000000000i	0.142880000000000+0.101030000000000i
8.60000000000000+0.00000000000000i	0.143605000000000+0.101416000000000i
8.70000000000000+0.00000000000000i	0.144324000000000+0.101799000000000i
8.80000000000000+0.00000000000000i	0.145039000000000+0.102179000000000i
8.90000000000000+0.00000000000000i	0.145748000000000+0.102554000000000i
9.00000000000000+0.00000000000000i	0.146452000000000+0.102927000000000i
9.10000000000000+0.00000000000000i	0.147151000000000+0.103296000000000i
9.20000000000000+0.00000000000000i	0.147846000000000+0.103661000000000i
9.30000000000000+0.00000000000000i	0.148536000000000+0.104023000000000i
9.40000000000000+0.00000000000000i	0.149221000000000+0.104382000000000i
9.50000000000000+0.00000000000000i	0.149901000000000+0.104737000000000i
9.60000000000000+0.00000000000000i	0.150577000000000+0.105090000000000i
9.70000000000000+0.00000000000000i	0.151249000000000+0.105439000000000i
9.80000000000000+0.00000000000000i	0.151916000000000+0.105785000000000i
9.90000000000000+0.00000000000000i	0.152579000000000+0.106129000000000i
10.0000000000000+0.00000000000000i	0.153237000000000+0.106469000000000i
11.0000000000000+0.00000000000000i	0.159605000000000+0.109721000000000i
12.0000000000000+0.00000000000000i	0.165613000000000+0.112725000000000i
13.0000000000000+0.00000000000000i	0.171307000000000+0.115515000000000i
14.0000000000000+0.00000000000000i	0.176725000000000+0.118120000000000i
15.0000000000000+0.00000000000000i	0.181896000000000+0.120560000000000i
16.0000000000000+0.00000000000000i	0.186847000000000+0.122854000000000i
17.0000000000000+0.00000000000000i	0.191599000000000+0.125017000000000i
18.0000000000000+0.00000000000000i	0.196169000000000+0.127063000000000i
19.0000000000000+0.00000000000000i	0.200573000000000+0.129002000000000i
20.0000000000000+0.00000000000000i	0.204826000000000+0.130843000000000i
21.0000000000000+0.00000000000000i	0.208938000000000+0.132596000000000i
22.0000000000000+0.00000000000000i	0.212920000000000+0.134267000000000i
23.0000000000000+0.00000000000000i	0.216782000000000+0.135863000000000i
24.0000000000000+0.00000000000000i	0.220530000000000+0.137389000000000i
25.0000000000000+0.00000000000000i	0.224174000000000+0.138850000000000i
26.0000000000000+0.00000000000000i	0.227719000000000+0.140251000000000i
27.0000000000000+0.00000000000000i	0.231171000000000+0.141596000000000i
28.0000000000000+0.00000000000000i	0.234536000000000+0.142889000000000i
29.0000000000000+0.00000000000000i	0.237818000000000+0.144132000000000i
30.0000000000000+0.00000000000000i	0.241022000000000+0.145329000000000i
31.0000000000000+0.00000000000000i	0.244152000000000+0.146482000000000i
