Time(s)	Voltage(V)
2.190	0
2.403	0
2.4035	3000
2.433	40000
2.455	40000
2.4555	43104
2.456	46584
2.4565	50520
2.457	54970
2.4575	60042
2.458	65847
2.4585	72512
2.459	80258
2.4595	89322
2.460	100000
2.4601	300000
2.46027	300000
