SPSBEAM/MOMENTUM,SPSBEAM/MOMENTUM
X,Y
1854.0,62.9847051687
1860.0,63.7157544964
1866.0,64.4490076897
1872.0,65.1844647485
1878.0,65.9221256729
1884.0,66.6619904628
1890.0,67.4040591182
1896.0,68.1483316392
1902.0,68.8948080258
1908.0,69.6434882779
1914.0,70.3943723955
1920.0,71.1474603787
1926.0,71.9027522275
1932.0,72.6602479418
1938.0,73.4199475216
1944.0,74.181850967
1950.0,74.9459582779
1956.0,75.7122694544
1962.0,76.4807844964
1968.0,77.2515034039
1974.0,78.0244261771
1980.0,78.7995528157
1986.0,79.5768833199
1992.0,80.3564176897
1998.0,81.138155925
2004.0,81.9220980258
2010.0,82.7082439922
2016.0,83.4965938241
2022.0,84.2871475216
2028.0,85.0799050846
2034.0,85.8748665132
2040.0,86.6720318073
2046.0,87.471400967
2052.0,88.2729739922
2058.0,89.0767508829
2064.0,89.8827316392
2070.0,90.6909162611
2076.0,91.5013047485
2082.0,92.3138971014
2088.0,93.1286933199
2094.0,93.9456934039
2100.0,94.7648973535
2106.0,95.5863051687
2112.0,96.4099168493
2118.0,97.2357323955
2124.0,98.0637518073
2130.0,98.8939750846
2136.0,99.7264022275
2142.0,100.5610332359
2148.0,101.3978681098
2154.0,102.2369068493
2160.0,103.0781494544
2166.0,103.921595925
2172.0,104.7672462611
2178.0,105.6151004628
2184.0,106.46515853
2190.0,107.3174204628
2196.0,108.1718862611
2202.0,109.028555925
2208.0,109.8874294544
2214.0,110.7485068493
2220.0,111.6117881098
2226.0,112.4772732359
2232.0,113.3449622275
2238.0,114.2148550846
2244.0,115.0869518073
2250.0,115.9612523955
2256.0,116.8377568493
2262.0,117.7164651687
2268.0,118.5973773535
2274.0,119.4804934039
2280.0,120.3658133199
2286.0,121.2533371014
2292.0,122.1430647485
2298.0,123.0349962611
2304.0,123.9291316392
2310.0,124.8254708829
2316.0,125.7240139922
2322.0,126.624760967
2328.0,127.5277118073
2334.0,128.4328665132
2340.0,129.3402250846
2346.0,130.2497875216
2352.0,131.1615538241
2358.0,132.0755239922
2364.0,132.9916980258
2370.0,133.910075925
2376.0,134.8306576897
2382.0,135.7534433199
2388.0,136.6784328157
2394.0,137.6056261771
2400.0,138.5350234039
2406.0,139.4666244964
2412.0,140.4004294544
2418.0,141.3364382779
2424.0,142.274650967
2430.0,143.2150675216
2436.0,144.1576879418
2442.0,145.1025122275
2448.0,146.0495403787
2454.0,146.9987723955
2460.0,147.9502082779
2466.0,148.9038480258
2472.0,149.8596916392
2478.0,150.8177391182
2484.0,151.7779904628
2490.0,152.7404456729
2496.0,153.7051047485
2502.0,154.6719676897
2508.0,155.6410344964
2514.0,156.6123051687
2520.0,157.5857797065
2526.0,158.5614581098
2532.0,159.5393403787
2538.0,160.5194265132
2544.0,161.5017165132
2550.0,162.4862103787
2556.0,163.4729081098
2562.0,164.4618097065
2568.0,165.4529151687
2574.0,166.4462244964
2580.0,167.4417376897
2586.0,168.4394547485
2592.0,169.4393756729
2598.0,170.4415004628
2604.0,171.4458291182
2610.0,172.4523616392
2616.0,173.4610980258
2622.0,174.4720382779
2628.0,175.4851823955
2634.0,176.5005303787
2640.0,177.5180822275
2646.0,178.5378379418
2652.0,179.5597975216
2658.0,180.583960967
2664.0,181.60983853
2688.0,185.71383853
2694.0,186.73983853
2706.0,188.79183853
2730.0,192.89583853
2736.0,193.92183853
2742.0,194.94783853
2748.0,195.97383853
2760.0,198.02583853
2766.0,199.05183853
2772.0,200.07783853
2778.0,201.10383853
2784.0,202.12983853
2796.0,204.18183853
2808.0,206.23383853
2814.0,207.25983853
2820.0,208.28583853
2832.0,210.33783853
2844.0,212.38983853
2850.0,213.41583853
2856.0,214.44183853
2868.0,216.49383853
2880.0,218.54583853
2886.0,219.57183853
2892.0,220.59783853
2898.0,221.62383853
2904.0,222.64983853
2922.0,225.72783853
2928.0,226.75383853
2934.0,227.77983853
2940.0,228.80583853
2952.0,230.85783853
2958.0,231.88383853
2964.0,232.90983853
2970.0,233.93583853
2976.0,234.96183853
2988.0,237.01383853
2994.0,238.03983853
3000.0,239.06583853
3006.0,240.09183853
3024.0,243.16983853
3030.0,244.19583853
3042.0,246.24783853
3048.0,247.27383853
3054.0,248.29983853
3060.0,249.32583853
3066.0,250.35183853
3072.0,251.37783853
3078.0,252.40383853
3102.0,256.50783853
3114.0,258.55983853
3126.0,260.61183853
3132.0,261.63783853
3138.0,262.66383853
3150.0,264.71583853
3174.0,268.81983853
3186.0,270.87183853
3192.0,271.89783853
3198.0,272.92383853
3204.0,273.94983853
3210.0,274.97583853
3216.0,276.00183853
3222.0,277.02783853
3228.0,278.05383853
3234.0,279.07983853
3252.0,282.15783853
3264.0,284.20983853
3282.0,287.28783853
3294.0,289.33983853
3300.0,290.36583853
3306.0,291.39003853
3312.0,292.41063853
3318.0,293.42763853
3324.0,294.44103853
3330.0,295.45083853
3336.0,296.45703853
3342.0,297.45963853
3348.0,298.45863853
3354.0,299.45403853
3360.0,300.44583853
3366.0,301.43403853
3372.0,302.41863853
3378.0,303.39963853
3384.0,304.37703853
3390.0,305.35083853
3396.0,306.32103853
3402.0,307.28763853
3408.0,308.25063853
3414.0,309.21003853
3420.0,310.16583853
3426.0,311.11803853
3432.0,312.06663853
3438.0,313.01163853
3444.0,313.95303853
3450.0,314.89083853
3456.0,315.82503853
3462.0,316.75563853
3468.0,317.68263853
3474.0,318.60603853
3480.0,319.52583853
3486.0,320.44203853
3492.0,321.35463853
3498.0,322.26363853
3504.0,323.16903853
3510.0,324.07083853
3516.0,324.96903853
3522.0,325.86363853
3528.0,326.75463853
3534.0,327.64203853
3540.0,328.52583853
3546.0,329.40603853
3552.0,330.28263853
3558.0,331.15563853
3564.0,332.02503853
3570.0,332.89083853
3576.0,333.75303853
3582.0,334.61163853
3588.0,335.46663853
3594.0,336.31803853
3600.0,337.16583853
3606.0,338.01003853
3612.0,338.85063853
3618.0,339.68763853
3624.0,340.52103853
3630.0,341.35083853
3636.0,342.17703853
3642.0,342.99963853
3648.0,343.81863853
3654.0,344.63403853
3660.0,345.44583853
3666.0,346.25403853
3672.0,347.05863853
3678.0,347.85963853
3684.0,348.65703853
3690.0,349.45083853
3696.0,350.24103853
3702.0,351.02763853
3708.0,351.81063853
3714.0,352.59003853
3720.0,353.36583853
3726.0,354.13803853
3732.0,354.90663853
3738.0,355.67163853
3744.0,356.43303853
3750.0,357.19083853
3756.0,357.94503853
3762.0,358.69563853
3768.0,359.44263853
3774.0,360.18603853
3780.0,360.92583853
3786.0,361.66203853
3792.0,362.39463853
3798.0,363.12363853
3804.0,363.84903853
3810.0,364.57083853
3816.0,365.28903853
3822.0,366.00363853
3828.0,366.71463853
3834.0,367.42203853
3840.0,368.12583853
3846.0,368.82603853
3852.0,369.52263853
3858.0,370.21563853
3864.0,370.9048493623
3870.0,371.5896562318
3876.0,372.2700118467
3882.0,372.9459162069
3888.0,373.6173693124
3894.0,374.2843711632
3900.0,374.9469217594
3906.0,375.6050211009
3912.0,376.2586691877
3918.0,376.9078660198
3924.0,377.5526115973
3930.0,378.19290592
3936.0,378.8287489881
3942.0,379.4601408016
3948.0,380.0870813603
3954.0,380.7095706644
3960.0,381.3276087138
3966.0,381.9411955085
3972.0,382.5503310485
3978.0,383.1550153339
3984.0,383.7552483645
3990.0,384.3510301405
3996.0,384.9423606619
4002.0,385.5292399285
4008.0,386.1116679405
4014.0,386.6896446978
4020.0,387.2631702004
4026.0,387.8322444483
4032.0,388.3968674416
4038.0,388.9570391802
4044.0,389.5127596641
4050.0,390.0640288933
4056.0,390.6108468679
4062.0,391.1525581716
4068.0,391.6806423946
4074.0,392.1924778723
4080.0,392.6880646047
4086.0,393.1674025917
4092.0,393.6304918334
4098.0,394.0773323298
4104.0,394.5079240808
4110.0,394.9222670866
4116.0,395.320361347
4122.0,395.7022068621
4128.0,396.0678036318
4134.0,396.4171516563
4140.0,396.7502509354
4146.0,397.0671014692
4152.0,397.3677032577
4158.0,397.6520563008
4164.0,397.9201605987
4170.0,398.1720161512
4176.0,398.4076229583
4182.0,398.6269810202
4188.0,398.8300903367
4194.0,399.016950908
4200.0,399.1875627339
4206.0,399.3419258144
4212.0,399.4800401497
4218.0,399.6019057396
4224.0,399.7075225842
4230.0,399.7968906835
4236.0,399.8700100374
4242.0,399.926880646
4248.0,399.9675025094
4254.0,399.9918756273
4260.0,400.0
4310.0,400.0000514834
4360.0,400.0002642631
4410.0,400.0007130744
4460.0,400.001780076
4510.0,400.0070132295
4560.0,400.014014898
4610.0,400.0226611537
4660.0,400.0321211698
4710.0,400.0405990895
4760.0,400.0484840635
4810.0,400.0550434363
4860.0,400.0619270479
4910.0,400.0677898307
4960.0,400.0736352982
5010.0,400.0787225665
5060.0,400.0836841717
5110.0,400.0866351074
5160.0,400.0925012742
5210.0,400.0964020971
5260.0,400.1007052683
5310.0,400.105083328
5360.0,400.1089591854
5410.0,400.1126730998
5460.0,400.1168335821
5510.0,400.1205381908
5560.0,400.1244333029
5610.0,400.1280521896
5660.0,400.1316211184
5710.0,400.1355926737
5760.0,400.1389857703
5810.0,400.1426368853
5860.0,400.1464360146
5910.0,400.1500127608
5960.0,400.1534298879
6010.0,400.1574724063
6060.0,400.1607500988
6110.0,400.1647011546
6160.0,400.1681536126
6210.0,400.1717817762
6260.0,400.1755015137
6310.0,400.179262612
6360.0,400.1827400604
6410.0,400.1866405279
6460.0,400.1903139777
6510.0,400.1940751197
6560.0,400.1974798184
6610.0,400.2013105713
6660.0,400.2051435857
6710.0,400.2089119687
6760.0,400.212571051
6810.0,400.2164639446
6860.0,400.2204574078
6910.0,400.2242178221
6960.0,400.2279041881
7010.0,400.2320459766
7060.0,400.2360540426
7110.0,400.2401562687
7160.0,400.2440596995
7210.0,400.2482233418
7260.0,400.2525805808
7310.0,400.256683607
7360.0,400.2607562582
7410.0,400.2654553635
7460.0,400.2696187682
7510.0,400.2738567908
7560.0,400.2783793026
7610.0,400.2828325693
7660.0,400.2874146574
7710.0,400.291465077
7760.0,400.2960732201
7810.0,400.3009376931
7860.0,400.305821087
7910.0,400.3104712599
7960.0,400.3154740086
8010.0,400.3209008588
8060.0,400.3259569888
8110.0,400.3316946293
8160.0,400.3372670728
8210.0,400.3435696115
8260.0,400.3492483445
8310.0,400.355359612
8360.0,400.3624445292
8410.0,400.3692385308
8460.0,400.3762905788
8510.0,400.3841396745
8560.0,400.3918648328
8610.0,400.4003448835
8660.0,400.4089797305
8710.0,400.4186571096
8760.0,400.4281909948
8810.0,400.4379411479
8860.0,400.4502874291
8910.0,400.462375155
8960.0,400.4753044864
9035.0,400.4775090201
9040.0,400.477655989
,
,
