2.831304091681002832e-01 0.000000000000000000e+00
2.574120027047957504e-01 5.602914722212637422e-03
1.888548729695049833e-01 4.473051059271893060e-02
1.016089917517240260e-01 1.433563963169757205e-01
3.070829482948871786e-02 3.136752545847774076e-01
1.514167362340303885e-02 5.503273605329153106e-01
8.982573329234616599e-02 8.298331368944197317e-01
2.778823919737887227e-01 1.113483605051361236e+00
5.846509471769685273e-01 1.353342546598275353e+00
9.946457474678294108e-01 1.500435310419004686e+00
1.472212917710983282e+00 1.513732150402705923e+00
1.965996941686832367e+00 1.368284764040298640e+00
2.416603955478533017e+00 1.060921593169962263e+00
2.766183056736128076e+00 6.122773280008828589e-01
2.968188167748255335e+00 6.458278412083523490e-02
2.995452050598310656e+00 -5.245401629042891756e-01
2.844959552049818097e+00 -1.091213878129255299e+00
2.538321819791992784e+00 -1.575668386259832854e+00
2.117811154190867295e+00 -1.931832817469262498e+00
1.638733850229747713e+00 -2.134282865261032391e+00
1.159686425951575561e+00 -2.181214802330491587e+00
7.326758043969211487e-01 -2.092960265459722802e+00
3.950778870598058989e-01 -1.906509285606424520e+00
1.649589935730798596e-01 -1.667348377209482813e+00
4.049811215104068274e-02 -1.420447117954505956e+00
3.316327233484901976e-03 -1.202318450133861738e+00
2.467009589887260088e-02 -1.035722002927890184e+00
7.290052495354233664e-02 -9.278758218108131839e-01
1.203781567900620020e-01 -8.721754847238891717e-01
1.484600658467682133e-01 -8.526118694194591008e-01
1.495905078017648604e-01 -8.495275158491198964e-01
1.264523169622097654e-01 -8.451791126004356558e-01
8.880519826013420770e-02 -8.277975738413438922e-01
4.914504850172127931e-02 -7.933697527392390425e-01
1.847460215055915858e-02 -7.450431244073454362e-01
3.278462352261234287e-03 -6.906854700046309858e-01
4.329918460464428180e-03 -6.395512376500431806e-01
1.737463360117860386e-02 -5.991210532502165842e-01
3.520890005324019828e-02 -5.729890834123787524e-01
5.033930539053613207e-02 -5.602588491955922123e-01
5.734987030920286888e-02 -5.564114498544862064e-01
5.430162181665419696e-02 -5.551818790891072108e-01
4.286350807400055030e-02 -5.507365593070092658e-01
2.729443832040595597e-02 -5.394405591480448958e-01
1.273390296400075776e-02 -5.207131424041362422e-01
3.419887987576133211e-03 -4.968101696847477822e-01
1.406309901444993855e-03 -4.717249952018158776e-01
6.132810468703087450e-03 -4.496560822512380429e-01
1.489228635377571990e-02 -4.335794816869435464e-01
2.395046824395317617e-02 -4.243754154618594177e-01
