2.948742996127347471e+00 0.000000000000000000e+00
2.947299503299067425e+00 3.414349344732386937e-02
2.948784263893369229e+00 8.459377757185401747e-02
2.969277231817140539e+00 1.618361264735529437e-01
3.031261232190380017e+00 2.658585786112624971e-01
3.157941314374206332e+00 3.835931456216339352e-01
3.366776764886575180e+00 4.891101450696668795e-01
3.663466035498025519e+00 5.467395429422136077e-01
4.037638072837656189e+00 5.167599054076954523e-01
4.461291104362391735e+00 3.627722421779271400e-01
4.890586700188237934e+00 5.946087096556640361e-02
5.271004055008236655e+00 -4.007652668031587151e-01
5.545185775783514792e+00 -1.003685683389714312e+00
5.662195823272683448e+00 -1.712794027377944284e+00
5.586504721991763844e+00 -2.472855442325783581e+00
5.304931835937484408e+00 -3.217124217229683669e+00
4.830063117848707677e+00 -3.877071138138474815e+00
4.199294766473264495e+00 -4.392881039085734685e+00
3.469511409120298762e+00 -4.722733467971277577e+00
2.708308978937001399e+00 -4.849053954927516230e+00
1.983410546855540080e+00 -4.780503424462956730e+00
1.352318863765606505e+00 -4.549341614356478658e+00
8.541988829548765594e-01 -4.204763293122877776e+00
5.054898825021703068e-01 -3.803639786121207678e+00
2.999222614110323981e-01 -3.400605562113979019e+00
2.126542259678900759e-01 -3.039491376685989898e+00
2.073780269353349692e-01 -2.747712978334913458e+00
2.446784884423220396e-01 -2.534482120164388341e+00
2.897843497016509007e-01 -2.392804717646900947e+00
3.181513370563964216e-01 -2.304394646816865233e+00
3.179588011755545285e-01 -2.246061510315194187e+00
2.894095734805792186e-01 -2.195950752364821845e+00
2.414827721339566358e-01 -2.138242259970786208e+00
1.873139127278893035e-01 -2.065459965033197953e+00
1.395520676832134599e-01 -1.978243511037060420e+00
1.068566276549775818e-01 -1.883089206343390387e+00
9.223093527008577319e-02 -1.789013236532051909e+00
9.329923655629882018e-02 -1.704228296230613893e+00
1.040904801593321716e-01 -1.633750950976390559e+00
1.175417098308119551e-01 -1.578453556850432093e+00
1.278516697029512539e-01 -1.535580510822502909e+00
1.319943183954077337e-01 -1.500315254468983506e+00
1.300600763410418581e-01 -1.467730523493985029e+00
1.245034627007139266e-01 -1.434434089572824700e+00
1.187100135495853942e-01 -1.399415107759669707e+00
1.154596822180748855e-01 -1.363919522048585353e+00
1.158259758277159213e-01 -1.330522551720723978e+00
1.188430598789731590e-01 -1.301813905831439744e+00
1.219797279737888235e-01 -1.279197777606951636e+00
1.221818296324902325e-01 -1.262222712793809709e+00
