f [Hz]  Z [Ohm] 
 (9.20000e+00+0.00000e+00j)  (1.46590e-01+1.02999e-01j)
 (9.30000e+00+0.00000e+00j)  (1.47275e-01+1.03360e-01j)
 (9.40000e+00+0.00000e+00j)  (1.47955e-01+1.03717e-01j)
 (9.50000e+00+0.00000e+00j)  (1.48631e-01+1.04072e-01j)
 (9.60000e+00+0.00000e+00j)  (1.49302e-01+1.04423e-01j)
 (9.70000e+00+0.00000e+00j)  (1.49969e-01+1.04772e-01j)
 (9.80000e+00+0.00000e+00j)  (1.50631e-01+1.05117e-01j)
 (9.90000e+00+0.00000e+00j)  (1.51289e-01+1.05459e-01j)
 (1.00000e+01+0.00000e+00j)  (1.51943e-01+1.05798e-01j)
 (1.10000e+01+0.00000e+00j)  (1.58265e-01+1.09041e-01j)
 (1.20000e+01+0.00000e+00j)  (1.64230e-01+1.12037e-01j)
 (1.30000e+01+0.00000e+00j)  (1.69884e-01+1.14822e-01j)
 (1.40000e+01+0.00000e+00j)  (1.75264e-01+1.17421e-01j)
 (1.50000e+01+0.00000e+00j)  (1.80400e-01+1.19857e-01j)
 (1.60000e+01+0.00000e+00j)  (1.85318e-01+1.22147e-01j)
 (1.70000e+01+0.00000e+00j)  (1.90037e-01+1.24308e-01j)
 (1.80000e+01+0.00000e+00j)  (1.94577e-01+1.26352e-01j)
 (1.90000e+01+0.00000e+00j)  (1.98953e-01+1.28289e-01j)
 (2.00000e+01+0.00000e+00j)  (2.03177e-01+1.30130e-01j)
 (2.10000e+01+0.00000e+00j)  (2.07263e-01+1.31882e-01j)
 (2.20000e+01+0.00000e+00j)  (2.11220e-01+1.33553e-01j)
 (2.30000e+01+0.00000e+00j)  (2.15057e-01+1.35149e-01j)
 (2.40000e+01+0.00000e+00j)  (2.18782e-01+1.36676e-01j)
 (2.50000e+01+0.00000e+00j)  (2.22403e-01+1.38139e-01j)
 (2.60000e+01+0.00000e+00j)  (2.25926e-01+1.39541e-01j)
 (2.70000e+01+0.00000e+00j)  (2.29357e-01+1.40888e-01j)
 (2.80000e+01+0.00000e+00j)  (2.32701e-01+1.42182e-01j)
 (2.90000e+01+0.00000e+00j)  (2.35964e-01+1.43427e-01j)
 (3.00000e+01+0.00000e+00j)  (2.39149e-01+1.44627e-01j)
 (3.10000e+01+0.00000e+00j)  (2.42261e-01+1.45782e-01j)
 (3.20000e+01+0.00000e+00j)  (2.45303e-01+1.46897e-01j)
 (3.30000e+01+0.00000e+00j)  (2.48278e-01+1.47974e-01j)
 (3.40000e+01+0.00000e+00j)  (2.51191e-01+1.49013e-01j)
 (3.50000e+01+0.00000e+00j)  (2.54043e-01+1.50019e-01j)
 (3.60000e+01+0.00000e+00j)  (2.56838e-01+1.50991e-01j)
 (3.70000e+01+0.00000e+00j)  (2.59578e-01+1.51932e-01j)
 (3.80000e+01+0.00000e+00j)  (2.62265e-01+1.52843e-01j)
 (3.90000e+01+0.00000e+00j)  (2.64901e-01+1.53727e-01j)
 (4.00000e+01+0.00000e+00j)  (2.67489e-01+1.54583e-01j)
 (4.10000e+01+0.00000e+00j)  (2.70031e-01+1.55413e-01j)
 (4.20000e+01+0.00000e+00j)  (2.72528e-01+1.56219e-01j)
 (4.30000e+01+0.00000e+00j)  (2.74981e-01+1.57002e-01j)
 (4.40000e+01+0.00000e+00j)  (2.77393e-01+1.57762e-01j)
 (4.50000e+01+0.00000e+00j)  (2.79766e-01+1.58500e-01j)
 (4.60000e+01+0.00000e+00j)  (2.82099e-01+1.59218e-01j)
 (4.70000e+01+0.00000e+00j)  (2.84395e-01+1.59916e-01j)
 (4.80000e+01+0.00000e+00j)  (2.86656e-01+1.60594e-01j)
 (4.90000e+01+0.00000e+00j)  (2.88881e-01+1.61255e-01j)
 (5.00000e+01+0.00000e+00j)  (2.91073e-01+1.61898e-01j)
 (5.10000e+01+0.00000e+00j)  (2.93232e-01+1.62524e-01j)
 (5.20000e+01+0.00000e+00j)  (2.95359e-01+1.63133e-01j)
 (5.30000e+01+0.00000e+00j)  (2.97456e-01+1.63727e-01j)
 (5.40000e+01+0.00000e+00j)  (2.99523e-01+1.64306e-01j)
 (5.50000e+01+0.00000e+00j)  (3.01561e-01+1.64870e-01j)
 (5.60000e+01+0.00000e+00j)  (3.03571e-01+1.65420e-01j)
 (5.70000e+01+0.00000e+00j)  (3.05554e-01+1.65957e-01j)
 (5.80000e+01+0.00000e+00j)  (3.07511e-01+1.66480e-01j)
 (5.90000e+01+0.00000e+00j)  (3.09441e-01+1.66990e-01j)
 (6.00000e+01+0.00000e+00j)  (3.11347e-01+1.67488e-01j)
 (6.10000e+01+0.00000e+00j)  (3.13228e-01+1.67975e-01j)
 (6.20000e+01+0.00000e+00j)  (3.15086e-01+1.68449e-01j)
 (6.30000e+01+0.00000e+00j)  (3.16920e-01+1.68913e-01j)
 (6.40000e+01+0.00000e+00j)  (3.18732e-01+1.69366e-01j)
 (6.50000e+01+0.00000e+00j)  (3.20522e-01+1.69808e-01j)
 (6.60000e+01+0.00000e+00j)  (3.22291e-01+1.70240e-01j)
 (6.70000e+01+0.00000e+00j)  (3.24039e-01+1.70662e-01j)
 (6.80000e+01+0.00000e+00j)  (3.25766e-01+1.71074e-01j)
 (6.90000e+01+0.00000e+00j)  (3.27473e-01+1.71478e-01j)
 (7.00000e+01+0.00000e+00j)  (3.29161e-01+1.71872e-01j)
 (7.10000e+01+0.00000e+00j)  (3.30830e-01+1.72257e-01j)
 (7.20000e+01+0.00000e+00j)  (3.32480e-01+1.72634e-01j)
 (7.30000e+01+0.00000e+00j)  (3.34113e-01+1.73003e-01j)
 (7.40000e+01+0.00000e+00j)  (3.35727e-01+1.73363e-01j)
 (7.50000e+01+0.00000e+00j)  (3.37324e-01+1.73716e-01j)
 (7.60000e+01+0.00000e+00j)  (3.38904e-01+1.74061e-01j)
 (7.70000e+01+0.00000e+00j)  (3.40468e-01+1.74398e-01j)
 (7.80000e+01+0.00000e+00j)  (3.42015e-01+1.74729e-01j)
 (7.90000e+01+0.00000e+00j)  (3.43546e-01+1.75052e-01j)
 (8.00000e+01+0.00000e+00j)  (3.45062e-01+1.75368e-01j)
 (8.10000e+01+0.00000e+00j)  (3.46562e-01+1.75678e-01j)
 (8.20000e+01+0.00000e+00j)  (3.48047e-01+1.75981e-01j)
 (8.30000e+01+0.00000e+00j)  (3.49518e-01+1.76278e-01j)
 (8.40000e+01+0.00000e+00j)  (3.50974e-01+1.76569e-01j)
 (8.50000e+01+0.00000e+00j)  (3.52416e-01+1.76854e-01j)
 (8.60000e+01+0.00000e+00j)  (3.53845e-01+1.77132e-01j)
 (8.70000e+01+0.00000e+00j)  (3.55259e-01+1.77405e-01j)
 (8.80000e+01+0.00000e+00j)  (3.56661e-01+1.77673e-01j)
 (8.90000e+01+0.00000e+00j)  (3.58049e-01+1.77935e-01j)
 (9.00000e+01+0.00000e+00j)  (3.59425e-01+1.78191e-01j)
 (9.10000e+01+0.00000e+00j)  (3.60788e-01+1.78442e-01j)
 (9.20000e+01+0.00000e+00j)  (3.62138e-01+1.78689e-01j)
 (9.30000e+01+0.00000e+00j)  (3.63476e-01+1.78930e-01j)
 (9.40000e+01+0.00000e+00j)  (3.64803e-01+1.79166e-01j)
 (9.50000e+01+0.00000e+00j)  (3.66117e-01+1.79398e-01j)
 (9.60000e+01+0.00000e+00j)  (3.67420e-01+1.79624e-01j)
 (9.70000e+01+0.00000e+00j)  (3.68712e-01+1.79847e-01j)
 (9.80000e+01+0.00000e+00j)  (3.69993e-01+1.80065e-01j)
 (9.90000e+01+0.00000e+00j)  (3.71263e-01+1.80278e-01j)
 (1.00000e+02+0.00000e+00j)  (3.72522e-01+1.80487e-01j)
 (1.10000e+02+0.00000e+00j)  (3.84555e-01+1.82364e-01j)
 (1.20000e+02+0.00000e+00j)  (3.95683e-01+1.83901e-01j)
 (1.30000e+02+0.00000e+00j)  (4.06027e-01+1.85158e-01j)
 (1.40000e+02+0.00000e+00j)  (4.15687e-01+1.86184e-01j)
